Respondent_ID,Gender,Age_Group,Experience_Years,Employment_Sector,Current_Monthly_Salary,Salary_Adequacy,Salary_Adequacy_score,Income_Expenditure,Debt_Status,Food & Groceries,Food_score_Num,Transport_Score,Transportataion_score_Num,Healthcare_score,Healthcare_score_Num,Savings_Behaviour,Coping_Strategy
152,Male,46 and above,3 years and above,Private sector,"Below #50,000",It covers about the same as before,2,More than 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Not Affected at all,0,Moderately Affected,3,I save much less than I used to,Borrowing money or taking loans
153,Female,46 and above,3 years and above,Private sector,"Below #50,000",It covers about the same as before,2,50% or less,"No, I have managed without borrowing or depleting savings",Extremely Affected,5,Slightly Affected,2,Slightly Affected,2,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
154,Female,46 and above,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Moderately Affected,3,Slightly Affected,2,I save much less than I used to,Borrowing money or taking loans
155,Female,46 and above,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000",It covers about the same as before,2,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Slightly Affected,2,Slightly Affected,2,Extremely Affected,5,I save much less than I used to,Borrowing money or taking loans
156,Female,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000","It covers more than before, my situation has improved",1,More than 90%,"Yes, occasionally, I borrow when things get too tight",Moderately Affected,3,Moderately Affected,3,Moderately Affected,3,I now save more deliberately to protect myself,Reducing food quantity or quality
157,Male,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000",It covers about the same as before,2,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Moderately Affected,3,Slightly Affected,2,I save much less than I used to,Joining a cooperative savings group (Ajo/Esusu)
158,Female,36-45,3 years and above,Private sector,"Below #50,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Slightly Affected,2,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
159,Female,46 and above,3 years and above,Private sector,"Below #50,000","It covers much less than before, I struggle significantly",4,More than 90%,"No, but I have completely depleted my savings to cope",Severely Affected,4,Not Affected at all,0,Moderately Affected,3,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
160,Female,36-45,3 years and above,Private sector,"Below #50,000","It covers much less than before, I struggle significantly",4,71% - 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Slightly Affected,2,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Reducing food quantity or quality
161,Female,46 and above,3 years and above,Private sector,"Below #50,000",It covers about the same as before,2,51% - 70%,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Not Affected at all,0,Moderately Affected,3,My savings have remained roughly the same,Drawing down on existing savings or investments
162,Male,46 and above,3 years and above,Private sector,"Below #50,000",It covers about the same as before,2,50% or less,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Not Affected at all,0,Slightly Affected,2,My savings have remained roughly the same,Taking on an additional job or side hustle
163,Male,46 and above,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000","It covers less than before, I manage but with difficulty",3,51% - 70%,"Yes, regularly, I borrow almost every month",Severely Affected,4,Moderately Affected,3,Extremely Affected,5,I save much less than I used to,Borrowing money or taking loans
164,Female,26-35,3 years and above,Private sector,"#301,000 - #500,000",It covers about the same as before,2,51% - 70%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Extremely Affected,5,Severely Affected,4,My savings have remained roughly the same,Joining a cooperative savings group (Ajo/Esusu)
165,Male,26-35,3 years and above,Private sector,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,More than 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Extremely Affected,5,Slightly Affected,2,My savings have remained roughly the same,Drawing down on existing savings or investments
166,Male,36-45,3 years and above,Private sector,"#301,000 - #500,000","It covers more than before, my situation has improved",1,51% - 70%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Extremely Affected,5,Slightly Affected,2,My savings have remained roughly the same,Joining a cooperative savings group (Ajo/Esusu)
167,Female,46 and above,3 years and above,Public sector (Government/Civil Service),"#301,000 - #500,000","It covers more than before, my situation has improved",1,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Extremely Affected,5,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
168,Female,46 and above,3 years and above,Public sector (Government/Civil Service),"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Severely Affected,4,Extremely Affected,5,I save much less than I used to,Drawing down on existing savings or investments
169,Male,46 and above,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000",It covers about the same as before,2,51% - 70%,"Yes, occasionally, I borrow when things get too tight",Moderately Affected,3,Moderately Affected,3,Moderately Affected,3,I save much less than I used to,Borrowing money or taking loans
170,Male,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,51% - 70%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Slightly Affected,2,Not Affected at all,0,My savings have remained roughly the same,Joining a cooperative savings group (Ajo/Esusu)
171,Male,18-25,3 years and above,Private sector,"#50,000 - #150,000","It covers less than before, I manage but with difficulty",3,50% or less,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Slightly Affected,2,Not Affected at all,0,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
172,Female,18-25,3 years and above,Private sector,"Below #50,000",It covers about the same as before,2,50% or less,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Not Affected at all,0,Slightly Affected,2,I save much less than I used to,Joining a cooperative savings group (Ajo/Esusu)
173,Male,18-25,3 years and above,Private sector,"#50,000 - #150,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Extremely Affected,5,Moderately Affected,3,"I have completely stopped saving , there is nothing left to save",Joining a cooperative savings group (Ajo/Esusu)
174,Male,18-25,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000","It covers less than before, I manage but with difficulty",3,More than 90%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Severely Affected,4,Slightly Affected,2,"I have completely stopped saving , there is nothing left to save",Reducing food quantity or quality
175,Female,36-45,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000","It covers much less than before, I struggle significantly",4,71% - 90%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Severely Affected,4,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Reducing food quantity or quality
176,Female,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#50,000 - #150,000","It covers less than before, I manage but with difficulty",3,51% - 70%,"Yes, occasionally, I borrow when things get too tight",Moderately Affected,3,Extremely Affected,5,Slightly Affected,2,I save much less than I used to,Borrowing money or taking loans
177,Female,36-45,3 years and above,Private sector,"#301,000 - #500,000",It covers about the same as before,2,More than 90%,"Yes, occasionally, I borrow when things get too tight",Moderately Affected,3,Moderately Affected,3,Extremely Affected,5,I save much less than I used to,Drawing down on existing savings or investments
178,Male,26-35,3 years and above,Public sector (Government/Civil Service),"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,More than 90%,"Yes, regularly, I borrow almost every month",Severely Affected,4,Extremely Affected,5,Slightly Affected,2,I save much less than I used to,Cutting back on non-essential spending
179,Male,36-45,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Slightly Affected,2,Slightly Affected,2,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
180,Male,36-45,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Slightly Affected,2,Moderately Affected,3,I save much less than I used to,Taking on an additional job or side hustle
181,Male,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000",It covers about the same as before,2,51% - 70%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Extremely Affected,5,Slightly Affected,2,My savings have remained roughly the same,Borrowing money or taking loans
182,Male,26-35,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,More than 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Severely Affected,4,Slightly Affected,2,I save much less than I used to,Taking on an additional job or side hustle
183,Female,46 and above,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000","It covers more than before, my situation has improved",1,More than 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Extremely Affected,5,Extremely Affected,5,My savings have remained roughly the same,Joining a cooperative savings group (Ajo/Esusu)
184,Male,46 and above,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000","It covers much less than before, I struggle significantly",4,71% - 90%,"Yes, regularly, I borrow almost every month",Moderately Affected,3,Severely Affected,4,Moderately Affected,3,I save much less than I used to,Joining a cooperative savings group (Ajo/Esusu)
185,Female,36-45,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000","It covers more than before, my situation has improved",1,71% - 90%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Severely Affected,4,Severely Affected,4,I save much less than I used to,Taking on an additional job or side hustle
186,Female,46 and above,3 years and above,Private sector,"#301,000 - #500,000","It covers more than before, my situation has improved",1,More than 90%,"No, I have managed without borrowing or depleting savings",Extremely Affected,5,Slightly Affected,2,Extremely Affected,5,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
187,Male,36-45,3 years and above,Private sector,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,More than 90%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Extremely Affected,5,Severely Affected,4,I save much less than I used to,Reducing food quantity or quality
188,Male,26-35,3 years and above,Private sector,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Severely Affected,4,Slightly Affected,2,My savings have remained roughly the same,Joining a cooperative savings group (Ajo/Esusu)
189,Female,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#151,000 - #300,000","It covers more than before, my situation has improved",1,50% or less,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Moderately Affected,3,Not Affected at all,0,I now save more deliberately to protect myself,Taking on an additional job or side hustle
190,Male,36-45,3 years and above,Private sector,"#151,000 - #300,000","It covers less than before, I manage but with difficulty",3,51% - 70%,"Yes, regularly, I borrow almost every month",Severely Affected,4,Moderately Affected,3,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
191,Male,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#151,000 - #300,000",It covers about the same as before,2,71% - 90%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Severely Affected,4,Extremely Affected,5,I save much less than I used to,Cutting back on non-essential spending
192,Male,26-35,3 years and above,Self-employed but on a fixed monthly salary,"#151,000 - #300,000","It covers less than before, I manage but with difficulty",3,51% - 70%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Extremely Affected,5,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Joining a cooperative savings group (Ajo/Esusu)
193,Male,36-45,3 years and above,Private sector,"#301,000 - #500,000",It covers about the same as before,2,More than 90%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Moderately Affected,3,Extremely Affected,5,I save much less than I used to,Borrowing money or taking loans
194,Male,18-25,3 years and above,Self-employed but on a fixed monthly salary,"#50,000 - #150,000",It covers about the same as before,2,51% - 70%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Extremely Affected,5,Slightly Affected,2,I save much less than I used to,Cutting back on non-essential spending
195,Male,18-25,3 years and above,Self-employed but on a fixed monthly salary,"#50,000 - #150,000",It covers about the same as before,2,51% - 70%,"Yes, occasionally, I borrow when things get too tight",Slightly Affected,2,Extremely Affected,5,Moderately Affected,3,My savings have remained roughly the same,Cutting back on non-essential spending
196,Male,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000",It covers about the same as before,2,51% - 70%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Moderately Affected,3,Moderately Affected,3,My savings have remained roughly the same,Joining a cooperative savings group (Ajo/Esusu)
197,Male,46 and above,3 years and above,Public sector (Government/Civil Service),"#151,000 - #300,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Severely Affected,4,Severely Affected,4,I save much less than I used to,Taking on an additional job or side hustle
198,Female,46 and above,3 years and above,Public sector (Government/Civil Service),"#301,000 - #500,000",It covers about the same as before,2,51% - 70%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Severely Affected,4,Severely Affected,4,My savings have remained roughly the same,Reducing food quantity or quality
199,Male,36-45,3 years and above,Public sector (Government/Civil Service),"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,More than 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Extremely Affected,5,Extremely Affected,5,I save much less than I used to,Joining a cooperative savings group (Ajo/Esusu)
200,Female,36-45,3 years and above,Public sector (Government/Civil Service),"#151,000 - #300,000","It covers much less than before, I struggle significantly",4,More than 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Extremely Affected,5,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Reducing food quantity or quality
201,Male,36-45,3 years and above,Private sector,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Moderately Affected,3,Moderately Affected,3,I save much less than I used to,Cutting back on non-essential spending
202,Female,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"No, but I have completely depleted my savings to cope",Severely Affected,4,Severely Affected,4,Slightly Affected,2,I save much less than I used to,Taking on an additional job or side hustle
203,Male,46 and above,3 years and above,NGO / International Organisation,"Above #500,000","It covers more than before, my situation has improved",1,51% - 70%,"No, I have managed without borrowing or depleting savings",Extremely Affected,5,Slightly Affected,2,Severely Affected,4,I save much less than I used to,Cutting back on non-essential spending
204,Male,46 and above,3 years and above,NGO / International Organisation,"Above #500,000","It covers more than before, my situation has improved",1,More than 90%,"No, I have managed without borrowing or depleting savings",Extremely Affected,5,Extremely Affected,5,Severely Affected,4,I save much less than I used to,Joining a cooperative savings group (Ajo/Esusu)
205,Female,36-45,3 years and above,NGO / International Organisation,"Above #500,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Moderately Affected,3,Extremely Affected,5,I save much less than I used to,Reducing food quantity or quality
206,Male,26-35,3 years and above,NGO / International Organisation,"#301,000 - #500,000",It covers about the same as before,2,More than 90%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Not Affected at all,0,Moderately Affected,3,I save much less than I used to,Joining a cooperative savings group (Ajo/Esusu)
207,Male,26-35,3 years and above,Self-employed but on a fixed monthly salary,"Above #500,000",It covers about the same as before,2,More than 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Extremely Affected,5,Not Affected at all,0,I save much less than I used to,Joining a cooperative savings group (Ajo/Esusu)
208,Female,18-25,3 years and above,Private sector,"Below #50,000","It covers much less than before, I struggle significantly",4,51% - 70%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Not Affected at all,0,Not Affected at all,0,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
209,Female,46 and above,3 years and above,Private sector,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,More than 90%,"Yes, occasionally, I borrow when things get too tight",Moderately Affected,3,Moderately Affected,3,Moderately Affected,3,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
210,Female,46 and above,3 years and above,Private sector,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,51% - 70%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Extremely Affected,5,Extremely Affected,5,I save much less than I used to,Joining a cooperative savings group (Ajo/Esusu)
211,Female,46 and above,3 years and above,Private sector,"#301,000 - #500,000","It covers much less than before, I struggle significantly",4,71% - 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Extremely Affected,5,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
212,Female,46 and above,3 years and above,Private sector,"Above #500,000",It covers about the same as before,2,71% - 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Extremely Affected,5,Slightly Affected,2,I save much less than I used to,Drawing down on existing savings or investments
213,Male,46 and above,3 years and above,Private sector,"Above #500,000","It covers less than before, I manage but with difficulty",3,More than 90%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Extremely Affected,5,Slightly Affected,2,I save much less than I used to,Reducing food quantity or quality
214,Male,46 and above,3 years and above,Private sector,"Above #500,000",It covers about the same as before,2,More than 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Extremely Affected,5,Slightly Affected,2,I save much less than I used to,Drawing down on existing savings or investments
215,Female,46 and above,3 years and above,Private sector,"Above #500,000","It covers less than before, I manage but with difficulty",3,More than 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Extremely Affected,5,Extremely Affected,5,My savings have remained roughly the same,Drawing down on existing savings or investments
216,Male,46 and above,3 years and above,Private sector,"Above #500,000","It covers more than before, my situation has improved",1,51% - 70%,"No, I have managed without borrowing or depleting savings",Slightly Affected,2,Slightly Affected,2,Extremely Affected,5,I save much less than I used to,Drawing down on existing savings or investments
217,Male,46 and above,3 years and above,Public sector (Government/Civil Service),"Above #500,000","It covers more than before, my situation has improved",1,50% or less,"No, I have managed without borrowing or depleting savings",Slightly Affected,2,Slightly Affected,2,Slightly Affected,2,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
218,Female,36-45,3 years and above,Private sector,"#301,000 - #500,000","It covers more than before, my situation has improved",1,More than 90%,"No, I have managed without borrowing or depleting savings",Severely Affected,4,Extremely Affected,5,Moderately Affected,3,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
219,Female,36-45,3 years and above,Private sector,"#301,000 - #500,000","It covers more than before, my situation has improved",1,51% - 70%,"No, I have managed without borrowing or depleting savings",Extremely Affected,5,Extremely Affected,5,Slightly Affected,2,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
220,Male,26-35,3 years and above,Private sector,"#301,000 - #500,000","It covers more than before, my situation has improved",1,51% - 70%,"No, I have managed without borrowing or depleting savings",Moderately Affected,3,Extremely Affected,5,Slightly Affected,2,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
221,Female,36-45,3 years and above,Private sector,"#151,000 - #300,000","It covers more than before, my situation has improved",1,51% - 70%,"No, I have managed without borrowing or depleting savings",Moderately Affected,3,Extremely Affected,5,Slightly Affected,2,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
222,Male,36-45,3 years and above,Private sector,"#301,000 - #500,000","It covers more than before, my situation has improved",1,71% - 90%,"No, I have managed without borrowing or depleting savings",Moderately Affected,3,Extremely Affected,5,Moderately Affected,3,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
223,Female,46 and above,3 years and above,Public sector (Government/Civil Service),"Above #500,000","It covers more than before, my situation has improved",1,More than 90%,"No, I have managed without borrowing or depleting savings",Slightly Affected,2,Extremely Affected,5,Severely Affected,4,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
224,Male,46 and above,3 years and above,Public sector (Government/Civil Service),"Above #500,000","It covers more than before, my situation has improved",1,51% - 70%,"No, I have managed without borrowing or depleting savings",Extremely Affected,5,Slightly Affected,2,Moderately Affected,3,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
225,Female,26-35,3 years and above,Public sector (Government/Civil Service),"#151,000 - #300,000","It covers more than before, my situation has improved",1,51% - 70%,"No, I have managed without borrowing or depleting savings",Severely Affected,4,Moderately Affected,3,Slightly Affected,2,I now save more deliberately to protect myself,Drawing down on existing savings or investments
226,Male,36-45,3 years and above,Public sector (Government/Civil Service),"#301,000 - #500,000","It covers more than before, my situation has improved",1,51% - 70%,"No, I have managed without borrowing or depleting savings",Severely Affected,4,Slightly Affected,2,Slightly Affected,2,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
227,Female,46 and above,3 years and above,Public sector (Government/Civil Service),"Above #500,000","It covers more than before, my situation has improved",1,50% or less,"No, I have managed without borrowing or depleting savings",Slightly Affected,2,Extremely Affected,5,Slightly Affected,2,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
228,Male,36-45,3 years and above,NGO / International Organisation,"Above #500,000","It covers more than before, my situation has improved",1,More than 90%,"No, I have managed without borrowing or depleting savings",Slightly Affected,2,Not Affected at all,0,Moderately Affected,3,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
229,Male,26-35,3 years and above,Public sector (Government/Civil Service),"#301,000 - #500,000","It covers more than before, my situation has improved",1,51% - 70%,"No, I have managed without borrowing or depleting savings",Severely Affected,4,Severely Affected,4,Slightly Affected,2,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
230,Male,26-35,3 years and above,NGO / International Organisation,"#301,000 - #500,000","It covers more than before, my situation has improved",1,71% - 90%,"No, I have managed without borrowing or depleting savings",Slightly Affected,2,Slightly Affected,2,Not Affected at all,0,I now save more deliberately to protect myself,Taking on an additional job or side hustle
231,Female,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000","It covers more than before, my situation has improved",1,71% - 90%,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Severely Affected,4,Moderately Affected,3,I now save more deliberately to protect myself,Drawing down on existing savings or investments
232,Male,26-35,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000",It covers about the same as before,2,More than 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Extremely Affected,5,Moderately Affected,3,I save much less than I used to,Taking on an additional job or side hustle
233,Male,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#151,000 - #300,000",It covers about the same as before,2,More than 90%,"No, I have managed without borrowing or depleting savings",Extremely Affected,5,Severely Affected,4,Slightly Affected,2,I save much less than I used to,Borrowing money or taking loans
234,Female,36-45,3 years and above,Private sector,"#151,000 - #300,000",It covers about the same as before,2,51% - 70%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Extremely Affected,5,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
235,Female,26-35,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Slightly Affected,2,Slightly Affected,2,I save much less than I used to,Drawing down on existing savings or investments
236,Male,26-35,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Not Affected at all,0,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
237,Male,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000",It covers about the same as before,2,51% - 70%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Moderately Affected,3,Slightly Affected,2,My savings have remained roughly the same,Taking on an additional job or side hustle
238,Female,36-45,3 years and above,NGO / International Organisation,"Above #500,000","It covers more than before, my situation has improved",1,More than 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Not Affected at all,0,Slightly Affected,2,My savings have remained roughly the same,Cutting back on non-essential spending
239,Male,46 and above,3 years and above,Private sector,"Below #50,000","It covers much less than before, I struggle significantly",4,50% or less,"Yes, occasionally, I borrow when things get too tight",Moderately Affected,3,Slightly Affected,2,Extremely Affected,5,I save much less than I used to,Borrowing money or taking loans
240,Female,18-25,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000",It covers about the same as before,2,50% or less,"Yes, occasionally, I borrow when things get too tight",Slightly Affected,2,Slightly Affected,2,Not Affected at all,0,My savings have remained roughly the same,Cutting back on non-essential spending
241,Female,46 and above,3 years and above,Private sector,"Below #50,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Slightly Affected,2,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
242,Female,36-45,3 years and above,Private sector,"#301,000 - #500,000",It covers about the same as before,2,71% - 90%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Severely Affected,4,Moderately Affected,3,My savings have remained roughly the same,Borrowing money or taking loans
243,Male,46 and above,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Severely Affected,4,Extremely Affected,5,I save much less than I used to,Joining a cooperative savings group (Ajo/Esusu)
244,Female,36-45,3 years and above,Private sector,"#301,000 - #500,000",It covers about the same as before,2,More than 90%,"No, I have managed without borrowing or depleting savings",Extremely Affected,5,Severely Affected,4,Slightly Affected,2,I save much less than I used to,Taking on an additional job or side hustle
245,Male,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#50,000 - #150,000",It covers about the same as before,2,71% - 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Extremely Affected,5,Moderately Affected,3,My savings have remained roughly the same,Cutting back on non-essential spending
246,Female,18-25,3 years and above,Private sector,"Below #50,000","It covers less than before, I manage but with difficulty",3,51% - 70%,"Yes, regularly, I borrow almost every month",Moderately Affected,3,Moderately Affected,3,Not Affected at all,0,"I have completely stopped saving , there is nothing left to save",Reducing food quantity or quality
247,Male,46 and above,3 years and above,Private sector,"Above #500,000","It covers more than before, my situation has improved",1,More than 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Extremely Affected,5,Severely Affected,4,My savings have remained roughly the same,Joining a cooperative savings group (Ajo/Esusu)
248,Male,26-35,3 years and above,NGO / International Organisation,"Above #500,000","It covers more than before, my situation has improved",1,More than 90%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Extremely Affected,5,Slightly Affected,2,My savings have remained roughly the same,Drawing down on existing savings or investments
249,Female,36-45,3 years and above,Private sector,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,51% - 70%,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Slightly Affected,2,Extremely Affected,5,My savings have remained roughly the same,Cutting back on non-essential spending
250,Female,36-45,3 years and above,Public sector (Government/Civil Service),"#301,000 - #500,000","It covers more than before, my situation has improved",1,51% - 70%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Slightly Affected,2,Slightly Affected,2,I save much less than I used to,Joining a cooperative savings group (Ajo/Esusu)
251,Male,26-35,3 years and above,Public sector (Government/Civil Service),"#151,000 - #300,000",It covers about the same as before,2,More than 90%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Slightly Affected,2,Slightly Affected,2,I save much less than I used to,Cutting back on non-essential spending
252,Male,26-35,3 years and above,NGO / International Organisation,"Above #500,000","It covers more than before, my situation has improved",1,More than 90%,"No, I have managed without borrowing or depleting savings",Severely Affected,4,Moderately Affected,3,Slightly Affected,2,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
