Respondent_ID,Gender,Age_Group,Experience_Years,Employment_Sector,Current_Monthly_Salary,Salary_Adequacy,Salary_Adequacy_score,Income_Expenditure,Debt_Status,Food & Groceries,Food_score_Num,Transport_Score,Transportataion_score_Num,Healthcare_score,Healthcare_score_Num,Savings_Behaviour,Coping_Strategy
86,Male,46 and above,3 years and above,Self-employed but on a fixed monthly salary,"#151,000 - #300,000","It covers much less than before, I struggle significantly",4,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Extremely Affected,5,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Cutting back on non-essential spending
87,Male,36-45,3 years and above,NGO / International Organisation,"Above #500,000","It covers more than before, my situation has improved",1,More than 90%,"No, but I have completely depleted my savings to cope",Extremely Affected,5,Slightly Affected,2,Slightly Affected,2,"I have completely stopped saving , there is nothing left to save",Cutting back on non-essential spending
88,Male,46 and above,3 years and above,Public sector (Government/Civil Service),"#301,000 - #500,000",It covers about the same as before,2,More than 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Slightly Affected,2,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Joining a cooperative savings group (Ajo/Esusu)
89,Female,26-35,3 years and above,NGO / International Organisation,"#301,000 - #500,000",It covers about the same as before,2,71% - 90%,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Extremely Affected,5,Slightly Affected,2,"I have completely stopped saving , there is nothing left to save",Cutting back on non-essential spending
90,Female,26-35,3 years and above,NGO / International Organisation,"#151,000 - #300,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Extremely Affected,5,Severely Affected,4,I save much less than I used to,Reducing food quantity or quality
91,Female,46 and above,3 years and above,NGO / International Organisation,"Above #500,000","It covers more than before, my situation has improved",1,More than 90%,"No, I have managed without borrowing or depleting savings",Moderately Affected,3,Moderately Affected,3,Moderately Affected,3,My savings have remained roughly the same,Cutting back on non-essential spending
92,Male,26-35,3 years and above,NGO / International Organisation,"#301,000 - #500,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Moderately Affected,3,Severely Affected,4,My savings have remained roughly the same,Cutting back on non-essential spending
93,Female,36-45,3 years and above,NGO / International Organisation,"#151,000 - #300,000",It covers about the same as before,2,71% - 90%,"No, but I have completely depleted my savings to cope",Severely Affected,4,Severely Affected,4,Severely Affected,4,My savings have remained roughly the same,Cutting back on non-essential spending
94,Female,26-35,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000","It covers much less than before, I struggle significantly",4,71% - 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Extremely Affected,5,Slightly Affected,2,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
95,Female,36-45,3 years and above,NGO / International Organisation,"Above #500,000","It covers more than before, my situation has improved",1,51% - 70%,"No, I have managed without borrowing or depleting savings",Slightly Affected,2,Moderately Affected,3,Moderately Affected,3,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
96,Female,26-35,3 years and above,NGO / International Organisation,"#301,000 - #500,000","It covers more than before, my situation has improved",1,50% or less,"No, I have managed without borrowing or depleting savings",Slightly Affected,2,Slightly Affected,2,Moderately Affected,3,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
97,Female,46 and above,3 years and above,NGO / International Organisation,"#151,000 - #300,000","It covers less than before, I manage but with difficulty",3,More than 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Extremely Affected,5,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Cutting back on non-essential spending
98,Male,18-25,3 years and above,NGO / International Organisation,"#151,000 - #300,000","It covers less than before, I manage but with difficulty",3,51% - 70%,"Yes, regularly, I borrow almost every month",Moderately Affected,3,Severely Affected,4,Slightly Affected,2,I save much less than I used to,Cutting back on non-essential spending
99,Female,26-35,3 years and above,NGO / International Organisation,"Above #500,000",It covers about the same as before,2,More than 90%,"No, I have managed without borrowing or depleting savings",Extremely Affected,5,Extremely Affected,5,Severely Affected,4,I save much less than I used to,Joining a cooperative savings group (Ajo/Esusu)
100,Female,36-45,3 years and above,NGO / International Organisation,"#151,000 - #300,000","It covers less than before, I manage but with difficulty",3,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Slightly Affected,2,Slightly Affected,2,"I have completely stopped saving , there is nothing left to save",Joining a cooperative savings group (Ajo/Esusu)
